AS,AS_ID
Endothelial cell,CL:0000115
Peyer's Patches,UBERON:0001211
Small intestine,UBERON:0002108
adenohypophysis,UBERON:0002196
alveolus of lung,UBERON:0002299
anagen hair,UBERON:0037467
anterior tibial artery,UBERON:0001537
anterior tibial vein,UBERON:0001545
anterior vena cava,UBERON:0001585
aorta,UBERON:0000947
apocrine sweat gland,UBERON:0000382
arachnoid villus,UBERON:0013153
arterial system,UBERON:0004572
articular capsule,UBERON:0001484
atrioventricular node,UBERON:0002352
axillary vein,UBERON:0000985
baroreceptor,UBERON:0004019
basement membrane of epithelium,UBERON:0005769
basilic vein,UBERON:0001411
biceps femoris,UBERON:0001374
blastula,UBERON:0000307
blood plasma,UBERON:0001969
bone marrow,UBERON:0002371
bone tissue,UBERON:0002481
brachial artery,UBERON:0001398
brachial vein,UBERON:0001413
brachiocephalic artery,UBERON:0001529
bronchus,UBERON:0002185
bulb of hair follicle,UBERON:0005932
bulbo-urethral gland,UBERON:0002366
bundle of His,UBERON:0002353
capillary,UBERON:0001982
capillary of brain,UBERON:8480001
cardiac Purkinje fiber,UBERON:0002354
cardiac muscle tissue of atrium,UBERON:0004490
cardiac muscle tissue of ventricle,UBERON:0018649
cardiac right atrium,UBERON:0002078
cartilage tissue,UBERON:0002418
celiac trunk,UBERON:0006637
cephalic vein,UBERON:0001106
cerebral artery,UBERON:0004449
chemoreceptor,UBERON:0018391
choroid plexus,UBERON:0001886
ciliary epithelium,UBERON:0001778
clitoris,UBERON:0002411
collection of collagen fibrils,UBERON:0002384;UBERON:0011860
common hepatic artery,UBERON:0005436
connective tissue,UBERON:0002384
connective tissue cell,CL:0002320
corpus cavernosum clitoridis,UBERON:0006608
corpus cavernosum penis,UBERON:0004713
corpus luteum,UBERON:0002512
corpus spongiosum of penis,UBERON:0011183
cycling endothelial cell of lymphatic vessel,CL:4033079
deep artery of penis,UBERON:0008321
deep dorsal vein of clitoris,UBERON:0006690
deep dorsal vein of penis,UBERON:0006656
deep fascia,UBERON:0011236
dermal papilla,UBERON:0000412
dermis,UBERON:0002067
descending aorta,UBERON:0001514
digestive enzyme secreting cell,CL:0000470
dorsal artery of clitoris,UBERON:0008323
dorsal sympathetic chain,UBERON:3010770
eccrine sweat gland,UBERON:0000423
elastic tissue,UBERON:0002521
endometrium,UBERON:0001295
enterocyte,CL:0000584
enterocyte of epithelium of large intestine,CL:0002071
epidermal-dermal junction,UBERON:0008877
epididymis smooth muscle,UBERON:0004835
epithelial cell,CL:0000066
epithelium,UBERON:0000483
external intercostal muscle,UBERON:0005441
external jugular vein,UBERON:0001101
facial nerve,UBERON:0001647
fascia,UBERON:0008982
femoral artery,UBERON:0002060
femoral vein,UBERON:0001361
fibroblast,CL:0000057
fimbriae of fallopian tube,UBERON:8410010
fourth ventricle lateral aperture,UBERON:0003992
gastroduodenal artery,UBERON:0010132
genioglossus muscle,UBERON:0001571
glandular epithelium,UBERON:0006799
glomerular capillary,CL:0004212
glossopharyngeal nerve,UBERON:0001649
goblet cell,CL:0000160
granulation tissue,UBERON:0010211
hair follicle,UBERON:0002073
hair follicle bulge,UBERON:0005975
hair follicle cell,CL:0002559
hair inner root sheath,UBERON:0005941
hair of scalp,UBERON:8420000
hair outer root sheath,UBERON:0005942
hair shaft,UBERON:0002074
heart left ventricle,UBERON:0002084
heart right ventricle,UBERON:0002080
hepatic vein,UBERON:0001143
hyoglossus muscle,UBERON:0001572
hypogastric nerve,UBERON:0005303
ileocolic artery,UBERON:0001197
ileocolic vein,UBERON:0001219
iliac artery,UBERON:0005609
iliac vein,UBERON:0005610
inferior mesenteric artery,UBERON:0001183
inferior mesenteric vein,UBERON:0001215
inferior oblique extraocular muscle,UBERON:0006320
inferior pharyngeal constrictor,UBERON:0001570
inferior vena cava,UBERON:0001072
infraspinatus tendon,UBERON:0012118
intercostal muscle,UBERON:0001111
intercostal nerve,UBERON:0003727
interior rectus extraocular muscle,UBERON:0006322
internal intercostal muscle,UBERON:0002403
internal jugular vein,UBERON:0001586
internal urethral sphincter,UBERON:0004918
interstitial fluid,UBERON:0000913
interventricular foramen of CNS,UBERON:0003993
intrahepatic branch of portal vein,UBERON:0016890
intrinsic muscle of tongue,UBERON:0001576
ischiocavernosus muscle,UBERON:0001339
kidney arcuate vein,UBERON:0004719
kidney insterstitium,UBERON:0005215
kidney vasculature,UBERON:0006544
knee,UBERON:0001465
lacrimal gland,UBERON:0001817
laryngeal intrinsic muscle,UBERON:0006328
lateral rectus extra-ocular muscle,UBERON:0001603
left cardiac atrium,UBERON:0002079
left colic artery,UBERON:8410022
