Human Organ System,Major Organs,Lowest Structure,Lowest ID,Lowest Type,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
endocrine system,pancreas,pancreatic A cell,CL:0000171,Unknown,,,glucagon production@alpha cell SECRETES glucagon,glucagon production@alpha cell SECRETES glucagon,,,,
endocrine system,pancreas,pancreatic A cell,CL:0000171,Unknown,,,glucagon production@glucagon INCREASES glycogenolysis,glucagon production@glucagon INCREASES glycogenolysis,,,,
endocrine system,pancreas,pancreatic A cell,CL:0000171,Unknown,,,glucagon production@glucagon INCREASES gluconeogenesis,glucagon production@glucagon INCREASES gluconeogenesis,,,,
endocrine system,pancreas,type B cell of pancreas,CL:0000169,Unknown,,,insulin production@beta cell SECRETES insulin,insulin production@beta cell SECRETES insulin,,,,
endocrine system,pancreas,type B cell of pancreas,CL:0000169,Unknown,,,insulin production@insulin INCREASES glycogen storage,insulin production@insulin INCREASES glycogen storage,,,,
endocrine system,pancreas,type B cell of pancreas,CL:0000169,Unknown,,,insulin production@insulin INCREASES glucose uptake,insulin production@insulin INCREASES glucose uptake,,,,
endocrine system,pancreas,pancreatic D cell,CL:0000173,Unknown,,,somatostatin production@delta cell SECRETES somatostatin,somatostatin production@delta cell SECRETES somatostatin,,,,
endocrine system,pancreas,pancreatic D cell,CL:0000173,Unknown,,,somatostatin production@nan,somatostatin production@nan,,,,
endocrine system,pancreas,PP cell,CL:0000696,Unknown,,,pancreatic polypeptide production@f cell SECRETES pancreatic polypeptide,pancreatic polypeptide production@f cell SECRETES pancreatic polypeptide,,,,
endocrine system,pancreas,PP cell,CL:0000696,Unknown,,,pancreatic polypeptide production@nan,pancreatic polypeptide production@nan,,,,
endocrine system,pancreas,PP cell,CL:0000696,Unknown,,,pancreatic polypeptide production@nan,pancreatic polypeptide production@nan,,,,
endocrine system,pancreas,PP cell,CL:0000696,Unknown,,,pancreatic polypeptide production@nan,pancreatic polypeptide production@nan,,,,
endocrine system,pancreas,PP cell,CL:0000696,Unknown,,,pancreatic polypeptide production@nan,pancreatic polypeptide production@nan,,,,
endocrine system,pancreas,type B cell of pancreas,CL:0000169,Unknown,,,C-peptide production@beta cell SECRETES c-peptide,C-peptide production@beta cell SECRETES c-peptide,,,,
endocrine system,pancreas,type B cell of pancreas,CL:0000169,Unknown,,,amylin production@beta cell SECRETES amylin,amylin production@beta cell SECRETES amylin,,,,
endocrine system,pancreas,type B cell of pancreas,CL:0000169,Unknown,,,amylin production@nan,amylin production@nan,,,,
endocrine system,adrenal gland,zona glomerulosa of adrenal gland,UBERON:0002053,Unknown,,,aldosterone production@zona glomerulosa cell SECRETES aldosterone,,,,,
endocrine system,adrenal gland,zona glomerulosa of adrenal gland,UBERON:0002053,Unknown,,,aldosterone production@aldosterone INCREASES sodium reuptake,,,,,
endocrine system,adrenal gland,zona glomerulosa of adrenal gland,UBERON:0002053,Unknown,,,aldosterone production@aldosterone INCREASES water resorption,,,,,
endocrine system,adrenal gland,zona glomerulosa of adrenal gland,UBERON:0002053,Unknown,,,aldosterone production@aldosterone INCREASES potassium excretion,,,,,
endocrine system,adrenal gland,zona fasciculata of adrenal gland,UBERON:0002054,Unknown,,,cortisol production@zona fasciculata cell SECRETES cortisol,cortisol production@zona fasciculata cell SECRETES cortisol,,,,
endocrine system,adrenal gland,zona reticularis of adrenal gland,UBERON:0002055,Unknown,,,,DHEA production@nan,,,,
